Timestamp,I hereby consent to the aforementioned student’s processing of data concerning me in connection with her degree programme at Aarhus University. My personal data will be used in the aforementioned project.,"Please fill out the online form following this link: https://aphantasia.com/study/vviq/?srsltid=AfmBOoqpD_YSyKqFIYVIx9SRcqIxuifhx3ek-8hpQHM17khqBhCC0Qqc and choose which group you belong to according to the questionaire!
",What was written on the envelope that Emma opened first?  ,What detail about the handwriting in the letter stood out?  ,What location was mentioned in the letter that connected Emma to her grandmother’s house?  ,How did Emma feel while reading the letters?   ,What happened outside while Emma was reading the letters?,Why was Emma surprised by the contents of the letter?  ,What did Emma learn about her family from reading the letters?  ,What does the phrase “The house by the willow tree” signify in the story?  ,How does the storm outside mirror Emma’s emotional journey?  ,What do you think the author intended by ending the story with Emma unable to “close the door” on the past?  ,How did you feel while reading about Emma’s discovery of the letters?  ,"Did you find the story’s descriptions (e.g., the rain, the attic) vivid or engaging? Why or why not?  ",What moment in the story evoked the strongest emotional response in you?  ,"Could you imagine being in Emma’s place? If so, how did it feel?  ",Did you feel connected to the story’s theme of uncovering family secrets? Why or why not?  
05/12/2024 14:38:29,Confirm,Hyperphantasia,There was no mention of this,It was elegant and cursive,The yellow hut,Happy and excited that she found out something new about her family,There was a storm with raindrops hitting the window in a steady rythmn,"The letter revealed a story of love, longing, and unspoken goodbyes involving her family.",The letters hinted at a hidden family history involving forbidden love and decisions that shaped her family’s past.,"It signifies a connection to Emma’s grandmother’s house, linking the letters to her own family.",indicates inner intensity,That she wants to know more about what happened,neutral,it was engaging. It made it easier to engage with the story.,When we got information about the letters writers leave.,I couldn't because the activity itself was something I wouldn't do normally.,"I felt connected with the environment, the room, the storm, but the narrative itself doesn't interests me, thus creating a distance."
05/12/2024 15:33:01,Confirm,Phantasia,Amelia,It was elegant and cursive,The house by the willow tree,Sad and outraged,There was a storm with raindrops hitting the window in a steady rythmn,"The letter revealed a story of love, longing, and unspoken goodbyes involving her family.",The letters hinted at a hidden family history involving forbidden love and decisions that shaped her family’s past.,"It signifies a connection to Emma’s grandmother’s house, linking the letters to her own family.","First it was raining outside, but as she went through the letters, the storm outside calmed down, but she was deeply moved inside.","That Emma would continue discover her past, and how it affects her in her present life. Maybe she was going through something similar with her relationships.","Curious, intrigued.",Yes. They pictured the mood of the moment very well. Enhancing the experience of diving deep into herself.,When she realizes it's something about her grandmothers story.,Yes. Felt a mix of sadness and fear. ,"Yes. I have that experience myself, somehow I was the one to receive the family secrets."
05/12/2024 16:07:56,Confirm,Aphantasia,Amelia,It was elegant and cursive,The house by the willow tree,Happy and excited that she found out something new about her family,There was strong wind moving the branches of the tree outside her window,"The letter revealed a story of love, longing, and unspoken goodbyes involving her family.",The letters hinted at a hidden family history involving forbidden love and decisions that shaped her family’s past.,"It signifies a connection to Emma’s grandmother’s house, linking the letters to her own family.",Because reading the letters is causing a metaphorical storm inside Emma,"Because she now knows that her family has a hidden past. She has learned information that she cannot unlearn, and it may lead her to further uncover the history of her family, or change the way she views her family.",Neutral,"When reading I usually ""skim over"" descriptive parts that don't add to the plot, but rather the mood. Similarly when listening to descriptions I often zone out as I am not able to immerse myself in the story.",I felt no emotion from the story ,No,No
05/12/2024 16:15:36,Confirm,Phantasia,Amelia,The ink was faded,The house by the willow tree,Happy and excited that she found out something new about her family,There was a storm with raindrops hitting the window in a steady rythmn,Her grandmother died before she was born and this letter helped her get to know her late relative.,The letters hinted at a hidden family history involving forbidden love and decisions that shaped her family’s past.,"It signifies a connection to Emma’s grandmother’s house, linking the letters to her own family.","Maybe when she read something shocking, the lightning struck",That she will not pretend she doesn't know it,I tried to visualize it. A bit of tension,"Yes, since they made the picture clearer and maybe used more modalities",The lightning ,Not really,"No, I don't have similar experience"
05/12/2024 16:37:45,Confirm,Hyperphantasia,There was no mention of this,It was elegant and cursive,The house by the willow tree,Happy and excited that she found out something new about her family,There was a storm with raindrops hitting the window in a steady rythmn,"The letter revealed a story of love, longing, and unspoken goodbyes involving her family.",The letters hinted at a hidden family history involving forbidden love and decisions that shaped her family’s past.,"It signifies a connection to Emma’s grandmother’s house, linking the letters to her own family.","Emma's awakening 'emotional storm' was represented by the intensification of the storm outside. But unlike the one outside, the storm inside her didn't stop later that day.","She became curious, she couldn't just forget what she got to know about her family's past.",I felt like discovering dark secrets (probably like Emma). Slightly anxious.,"It used synesthesia really well. Visual, auditory and haptic descriptions made it engaging.","The first part, the description of the setting was nice, I felt like being there.","I didn't really understand her response to the letters. I might have found them funny, something cool, exciting; I wouldn't have been shocked.",For the above-mentioned reasons not really.
05/12/2024 19:25:02,Confirm,Phantasia,Amelia,The ink was faded,The house by the willow tree,Sad and outraged,There was a storm with raindrops hitting the window in a steady rythmn,"The letter revealed a story of love, longing, and unspoken goodbyes involving her family.",The letters hinted at a hidden family history involving forbidden love and decisions that shaped her family’s past.,"It signifies a connection to Emma’s grandmother’s house, linking the letters to her own family.","When the storm Stoor outside, a metaphorical one began in Emma",That she needs to know more and can’t let it go,"I didn’t feel much, but I imaged Emma’s feelings","They were vivid because they were so detailed, and engaging because the story left many questions unanswered ",When she figured out that the letters were connected to her grandmother ,"No, it was more like I saw here from a third person perspective ","I don’t know if I would say that I felt connected, but I was engaged and maybe sympathized a bit with Emma, because the story let us into an emotional moment in her life"
05/12/2024 19:32:53,Confirm,Phantasia,Amelia,It was elegant and cursive,The house by the willow tree,Sad and outraged,There was a storm with raindrops hitting the window in a steady rythmn,"The letter revealed a story of love, longing, and unspoken goodbyes involving her family.",The letters hinted at a hidden family history involving forbidden love and decisions that shaped her family’s past.,"It signifies a connection to Emma’s grandmother’s house, linking the letters to her own family.",,,,,,,
05/12/2024 20:25:17,Confirm,Phantasia,There was no mention of this,It was elegant and cursive,The house by the willow tree,Sad and outraged,There was a storm with raindrops hitting the window in a steady rythmn,"The letter revealed a story of love, longing, and unspoken goodbyes involving her family.",The letters hinted at a hidden family history involving forbidden love and decisions that shaped her family’s past.,"It signifies a connection to Emma’s grandmother’s house, linking the letters to her own family.","The storm of the outside weather becomes a part of her as she is reading the letters,such that even when the physical storm has passed, there's now a storm inside of her","Leaving an open ending,making the reader wonder what happened in the letters, yet making it clear it was something important to her","Engaged, wondering about what was going on, but a bit disappointed that I didn't get any answers to my curiosity ","Some of it, yes. Especially the beginning. But as time moved faster and she was doing more than the story just describing her surroundings, it got less vivid ","The last part about the storm being inside of her, and the first part describing a cozy attic ",Yes. Cozy and old. Warm.,"Yes, but I feel I needed a bit more context to her story, before I really got connected "
05/12/2024 20:58:38,Confirm,Phantasia,Amelia,It was elegant and cursive,The house by the willow tree,Sad and outraged,There was strong wind moving the branches of the tree outside her window,"The letter revealed a story of love, longing, and unspoken goodbyes involving her family.",The letters hinted at a hidden family history involving forbidden love and decisions that shaped her family’s past.,"It signifies a connection to Emma’s grandmother’s house, linking the letters to her own family.",While she was getting more nervous the storm outside calmed down ,That truth will always find the way out and you can not just forget about past ,Intense but excited ,"Vivid, the descriptions helped to feel the atmosphere which was at the moment both in the room and in soul of the girl ",The moment she realised that the letters belongs to her family history ,I could but I would be more excited about it then scared ,"I always wanted to discover some family secrets when I was a child, searching for something in family albums and letters, but at the end my mom told me more secrets then I could ever find out by my own 😂😅 "
05/12/2024 21:24:37,Confirm,Hyperphantasia,Amelia,It was elegant and cursive,The house by the willow tree,Sad and outraged,There was a storm with raindrops hitting the window in a steady rythmn,"The letter revealed a story of love, longing, and unspoken goodbyes involving her family.",The letters hinted at a hidden family history involving forbidden love and decisions that shaped her family’s past.,"It signifies a connection to Emma’s grandmother’s house, linking the letters to her own family.","The storm reflects the change in Emma's emotional state - as she gets more agitated, the storm gets more violent. Also a possible reference to the ""eye of the tornado"" in the last part of the text: calmer, yet still full of strong emotions.",That she now has gained knowledge from the letters which is upsetting.,"First vaguely interested, then gradually more invested as a picture of her emotional state and the story unfolded.","It set the scene, and made it easier to imagine in one's minds eye. So it was engaging.",The description of the storm contra Emma reading the letters.,"Possibly? I would imagine it must be harrowing, and leave one with more questions than answers.",Not particularly. My own family usually hasn't kept a lot of secrets.
06/12/2024 01:18:37,Confirm,Hyperphantasia,Amelia,The ink was faded,The house by the willow tree,Happy and excited that she found out something new about her family,There was a storm with raindrops hitting the window in a steady rythmn,"The letter revealed a story of love, longing, and unspoken goodbyes involving her family.",The letters hinted at a hidden family history involving forbidden love and decisions that shaped her family’s past.,"It signifies a connection to Emma’s grandmother’s house, linking the letters to her own family.",An eagerness to learn more and lots of new energy to continue reading and discovering ,It could be a teaser intended for Emma of continuing on but also for the reader to continue in order to find out more.,"Contrasted since it was excitement and happy feeling for discovering and learning more of her past and how she would do it but on the other hand, the storm outside made me feel uneasy and distracted ","Yes, there were many small details that when you read them you kinda just skip but your brain still catches them and creates the image very realistically ","""hope that one day you will understand why I had to leave.""
""The realization sent shivers down her spine""

These, I think, were the sentences with the strongest emotions and so they effect me as the reader as well. Even though it was a short story, by just knowing a little of the characters, you can tell that these sentences changes Emma's perspectives ",It felt like something had been lost and I would need to find answers in order to honor their memory ,Yes because I could imagine being in that position although it hasn't happened to me 
06/12/2024 04:54:03,Confirm,Phantasia,To my love,It was elegant and cursive,The house by the willow tree,Sad and outraged,There was a storm with raindrops hitting the window in a steady rythmn,"The letter revealed a story of love, longing, and unspoken goodbyes involving her family.",The letters hinted at a hidden family history involving forbidden love and decisions that shaped her family’s past.,"It signifies a connection to Emma’s grandmother’s house, linking the letters to her own family.","Pathetic fallacy - calm/sad/angry-rain, big storm",That there would be a next chapter with more information ,"Calm, pictured quite clearly, as if a TV show ","It was descriptive since it also added small touches like the tea she had beside her, that she was in the midst of all the scattered letters, while the rain started from a calm rhythm to a more dissonant lightning storm ","The introduction before the drama - calm and cozy in a rainy day, ideal situation ","I wouldn’t be as upset as she was, everyone has a past and it is cool to read these things but also it was chosen not to be passed on to you, maybe there are reasons for that and you should respect how things have turned out - not entitled to every piece of family history ","No, I have not had experience with this"
06/12/2024 12:51:51,Confirm,Aphantasia,There was no mention of this,It was elegant and cursive,The house by the willow tree,Sad and outraged,There was a storm with raindrops hitting the window in a steady rythmn,"The letter revealed a story of love, longing, and unspoken goodbyes involving her family.",The letters hinted at a hidden family history involving forbidden love and decisions that shaped her family’s past.,"It signifies a connection to Emma’s grandmother’s house, linking the letters to her own family.",I don’t know what to say,I don’t know ,Curious about what they were about,"To be honest, the text was too descriptive for me and I kinda ended up only skimming the descriptions because they feel meaningless to me ",Maybe the beginning? I really don’t know,No,Not really 
06/12/2024 14:16:56,Confirm,Hyperphantasia,There was no mention of this,It was elegant and cursive,The house by the willow tree,Happy and excited that she found out something new about her family,There was a storm with raindrops hitting the window in a steady rythmn,"The letter revealed a story of love, longing, and unspoken goodbyes involving her family.",The letters hinted at a hidden family history involving forbidden love and decisions that shaped her family’s past.,"It signifies a connection to Emma’s grandmother’s house, linking the letters to her own family.","It's kind of like she absorbed the storm, in the initial period of excitement the storm was peaking outside, and when she had read the letter and the storm died out, she had a storm inside of herself.",I'd say that she had learned something she could never forget and that she had gotten an interest in the past she didn't have before.,Curious about what she would find in them.,Quite vivid. It sets up the story in a specific mood.,"Tge initial scene, sitting on a wooden floor looking out at the rain with the smell of old paper and coffee reminded me of an experience I've had.","Sure, it felt a bit melancholy, cozy and then slightly exciting.","Moderately so, I enjoy looking at old photographs and liatening to old stories and they are usually more engaging when they are family related "
06/12/2024 14:35:47,Confirm,Hyperphantasia,Amelia,It was elegant and cursive,The house by the willow tree,Sad and outraged,There was a storm with raindrops hitting the window in a steady rythmn,"The letter revealed a story of love, longing, and unspoken goodbyes involving her family.",The letters hinted at a hidden family history involving forbidden love and decisions that shaped her family’s past.,"It signifies a connection to Emma’s grandmother’s house, linking the letters to her own family.","Firs it just rains it's kind of melancholic, and when she finds out something shocking there a lightning ","Now she knows the information on the past and cannot just unknow them. Forgetting, especially shocking stuff is near impossible (with normally functioning brain that is)","I know nothing of this Emma character so it was difficult for me to feel much. If I don't understand where an emotion is coming from it is impossible for me to feel it. The only mystery mentioned there was an affair maybe and long ago at it, so I don't get where this Emma's storm of emotions came from. I felt relaxed if anything as the setting around it  reminded me of criminal stories and there is something very tranquil in solving mysteries in a stylish place like that, the weather in there added to mood","I found them vivid, it was easy see the setting with the descriptions but they weren't particularly engaging. There was no action going on (my favourite pass time is imagining fight sequences), no explanation of Emma's connection to her family so I don't know why she was sad and so the weather change was looking nice to me, but that would be it. So vivid, not engaging (except for beginning when it was just a build up)",The first part describing the attic and the rain falling. It invoked the feeling of calm,"Yes, to sit in the attic in the rain with coffee and having some minor mystery at my hands (and actually time to solve it) I can imagine feeling peaceful and maybe even a little bit of joy","Depends on the nature of secrets. I like it when when there are high stakes involved like murders, conspiracies or maybe some heists and the past is actually affecting the present. If it's just who slept with who and where, and it's just all long in the past, I'm not particularly interested. I also never really read or watched anything specifically under the genre of family secrets so not sure what exactly it involves. So I can't say I feel particularly connected and the fragment provided didn't contain anything that would convince me to it "
06/12/2024 15:28:45,Confirm,Hyperphantasia,Amelia,The ink was faded,The house by the willow tree,Sad and outraged,There was a storm with raindrops hitting the window in a steady rythmn,"The letter revealed a story of love, longing, and unspoken goodbyes involving her family.",The letters hinted at a hidden family history involving forbidden love and decisions that shaped her family’s past.,"It signifies a connection to Emma’s grandmother’s house, linking the letters to her own family.","It is as if she consumes the storm after reading the letters, taking upon her the chaos and uncertainty. ",Now she knows something that she cannot ignore. It will impact how she sees herself and goes about her everyday life. ,"Touched, intrigued. ",Very vivid and engaging. I could feel and see everything. ,The scene of letters after-the-fact,Yes. I felt nervous and intrigued. ,Not from my own experience but I did feel like I was part of the story. 
06/12/2024 15:40:53,Confirm,Phantasia,Amelia,It was elegant and cursive,The house by the willow tree,Happy and excited that she found out something new about her family,There was a storm with raindrops hitting the window in a steady rythmn,"The letter revealed a story of love, longing, and unspoken goodbyes involving her family.",The letters hinted at a hidden family history involving forbidden love and decisions that shaped her family’s past.,"It signifies a connection to Emma’s grandmother’s house, linking the letters to her own family.","As her emotional self has a high arousal, the storm gets wilder",metaphors create capturing inner mental imagery: showing rather than just telling,Interested,The description of the environment made it way more interesting to read,Opening the letter,Yeah. It must feel exciting and at the same time troublesome to reveal/expose deep family history,"Yeah, my family has also had some secrets"
06/12/2024 15:57:45,Confirm,Phantasia,Amelia,It was elegant and cursive,The house by the willow tree,Sad and outraged,There was a storm with raindrops hitting the window in a steady rythmn,"The letter revealed a story of love, longing, and unspoken goodbyes involving her family.",The letters hinted at a hidden family history involving forbidden love and decisions that shaped her family’s past.,"It signifies a connection to Emma’s grandmother’s house, linking the letters to her own family.",Emma is having a difficult time coming to terms with what she's just uncovered. The storm is within her,Point of no return,Felt quite immersed which was a very pleasant feeling. I've been reading quite a few non-fiction texts which tend to be dry in terms of sensory details. Made it easier to feel the story and find myself within it. It's more difficult to do that with abstract concepts that you rely purely on yourself for.,"Very much so, appealing to the senses and pathetic fallacy was fun to consider",The raindrops at fhe beginning. Emma surrounded by the letters in the end.,"Yes! Her surrounded by the letters evoked similar images of myself sitting with piles of artefacts I've collected from family and friends throughout the years. It is bittersweet, it is heartbreaking, and every time inre-read them or look through them, I discover something new.",Definitely. Big aspect of my family life is things that are taboo / that no one really talks about. Then i make discoveries here and there.. not in the form of letters necessarily though it has happened
06/12/2024 17:31:35,Confirm,Aphantasia,Amelia,The ink was faded,The house by the willow tree,Happy and excited that she found out something new about her family,There was a storm with raindrops hitting the window in a steady rythmn,"The letter revealed a story of love, longing, and unspoken goodbyes involving her family.",The letters hinted at a hidden family history involving forbidden love and decisions that shaped her family’s past.,"It signifies a connection to Emma’s grandmother’s house, linking the letters to her own family.",It reflects her emotional state,She had to find out the story behind those letters ,Engaged in the story,Not really,The beginning ,"Not really, I could just hear a faint sound of the rain and imagine the action of opening and reading letters.","Yes, it was engaging and the atmosphere was vivid"
06/12/2024 17:41:41,Confirm,Phantasia,Amelia,It was elegant and cursive,The house by the willow tree,Sad and outraged,There was a storm with raindrops hitting the window in a steady rythmn,"The letter revealed a story of love, longing, and unspoken goodbyes involving her family.",The letters hinted at a hidden family history involving forbidden love and decisions that shaped her family’s past.,"It signifies a connection to Emma’s grandmother’s house, linking the letters to her own family.",Inversely,"Using a visual metaphor by likening the still flowing, inquisitive and not at all calm feelings inside her to a physically open door",Tired,"The attic was more intriguing with the creaking floorboards and the envelope smell, the storm was kinda just background noise to me",The envelope smell. That really reminded me of my grandparents' house.,"In my experience it isn't uncommon to discover some skeletons in the family closet as one is growing up. It can feel devastating, and can completely uproot the character of some family members, making them feel a bit like strangers.",Yes. I have experienced similar things.
07/12/2024 00:14:25,Confirm,Phantasia,There was no mention of this,It was elegant and cursive,The house by the willow tree,Sad and outraged,There was a storm with raindrops hitting the window in a steady rythmn,"The letter revealed a story of love, longing, and unspoken goodbyes involving her family.",The letters hinted at a hidden family history involving forbidden love and decisions that shaped her family’s past.,"It signifies a connection to Emma’s grandmother’s house, linking the letters to her own family.",The emotional sense,"That Emma discover something which is still valid, the reason in the past of something on the present. ",Curious,"Engaging, I would need more context",The metaphore with the tornado,"Yes, I feel familiarized, its not an unusual place","No, its feels like an introduction, no the story yet"
07/12/2024 00:43:04,Confirm,Hyperphantasia,Amelia,It was elegant and cursive,The house by the willow tree,Sad and outraged,There was a storm with raindrops hitting the window in a steady rythmn,"The letter revealed a story of love, longing, and unspoken goodbyes involving her family.",The letters hinted at a hidden family history involving forbidden love and decisions that shaped her family’s past.,"It signifies a connection to Emma’s grandmother’s house, linking the letters to her own family.",,,,,,,
07/12/2024 01:25:48,Confirm,Phantasia,Amelia,It was elegant and cursive,The house by the willow tree,Happy and excited that she found out something new about her family,There was a storm with raindrops hitting the window in a steady rythmn,"The letter revealed a story of love, longing, and unspoken goodbyes involving her family.",The letters hinted at a hidden family history involving forbidden love and decisions that shaped her family’s past.,"It signifies a connection to Emma’s grandmother’s house, linking the letters to her own family.",Mirrors her excitement and urge to know more. ,Metaphor to being unable to ignore knowledge once gained,Slight interest,Vivid but too blown up with adjectives to be immersive,Most intriguing was the description of the letters,No. More like over the shoulder watching. ,No. The choice of words was too distracting
07/12/2024 07:13:30,Confirm,Phantasia,Amelia,It was elegant and cursive,The house by the willow tree,Happy and excited that she found out something new about her family,There was a storm with raindrops hitting the window in a steady rythmn,"The letter revealed a story of love, longing, and unspoken goodbyes involving her family.",The letters hinted at a hidden family history involving forbidden love and decisions that shaped her family’s past.,"It signifies a connection to Emma’s grandmother’s house, linking the letters to her own family.",Emma had a lot of confusing feelings because of everything she experienced due to the letter. So it’s like there was a storm inside of her?,I dont’t remember this part.,"A familiar feeling, I think I would be also excited reading old letters.","Yes, I think it was engaging. I could follow the story better, it was more exciting.",I think when she connected that the letter is about her grandma.,"I can, I have, and it felt natural I guess.","Yes and no, yes because i would be also ecxited and no because i did not have real experience with it."
